V13,V14,p.value,probability,n,p_adju,p_scaled
IPR006120,"Resolvase, HTH domain",1.813305065602e-311,0.0001972922447976299,103,5.43084867147791e-309,3082.6513229848847
IPR006119,"Resolvase, N-terminal catalytic domain",0.0,0.00075844313778761,291,0.0,3076.5265556858876
IPR009899,Antirestriction,2.3827186370525896e-85,0.00014311773495565775,31,4.757494878648337e-83,823.2262167055035
IPR012910,"TonB-dependent receptor, plug domain",1.9085822337879517e-78,0.01395195772124223,18,2.858101895097458e-76,755.4392229209868
IPR007159,SpoVT-AbrB domain,4.1037720279366673e-78,0.000027491542307866462,19,4.9163188894681276e-76,753.0835995502791
IPR011204,Virulence protein RhuM-like,5.6976501399566104e-74,0.00021508088982036703,31,5.688154056390016e-72,712.4502864980747
IPR003477,mRNA interferase PemK-like,5.3401408921279486e-68,0.00004689733687812514,19,4.569634849120916e-66,653.4011850219441
IPR025657,RadC-like JAB domain,7.281678943016385e-64,0.00039781878869030293,34,5.452157108583518e-62,612.6343163808905
IPR011109,DNA-binding recombinase domain,7.352251358806953e-54,0.00017222642681104578,22,4.89333173769485e-52,513.1039534075619
IPR025827,Recombinase zinc beta ribbon domain,8.498525865505219e-54,0.00008651750079240327,18,5.090616993437626e-52,512.9322957707263
IPR001789,"Signal transduction response regulator, receiver domain",6.526899669024334e-41,0.00987027226329782,8,3.554193547041433e-39,384.492589259614
IPR013610,N-terminal domain of anti-restriction factor ArdC,1.3431172350566563e-39,0.0002094208664040416,18,6.70439353165781e-38,371.7364050159565
IPR041459,"Polyvalent protein, metallopeptidase domain",1.5460720901458284e-39,0.00021022944117780236,18,7.123824476902701e-38,371.4728678960909
IPR043964,"TraG, P-loop domain",1.9763114975643405e-36,0.0006597970153887951,27,8.455789907436e-35,340.72845816047686
IPR046816,"MmeI-like, DNA-methyltransferase domain",2.6353926478235197e-32,0.00007519745395975238,11,1.0524001306975256e-30,299.77819106651316
IPR000523,"Magnesium chelatase ChlI-like, catalytic domain",6.568081067903312e-31,0.0002280180862005395,15,2.4589253497963022e-29,286.092546557524
