query_id	subject_id	length	nident	pident	evalue	genome
EFB_0058	NZ_CP199307.1_2735	170	58	34.1	3.16e-14	GCF_052540635.1
EFB_0058	NZ_LR134404.1_954	73	24	32.9	1.37e-04	GCF_900637795.1
EFB_0058	NZ_CP072373.1_1424	81	30	37.0	1.32e-05	GCF_018128185.1
EFB_0058	NZ_CP171010.1_331	194	63	32.5	6.58e-18	GCF_043950645.1
EFB_0058	NZ_CP033913.1_26	190	67	35.3	2.57e-21	GCF_003815835.1
EFB_0058	NZ_CP099631.1_11	167	59	35.3	1.73e-21	GCF_023821985.2
EFB_0058	NZ_CP094531.1_41	190	61	32.1	5.92e-18	GCF_022811665.1
EFB_0058	NZ_CP047647.1_176	180	57	31.7	1.53e-17	GCF_009906935.1
EFB_0058	NZ_LR735258.1_5057	147	54	36.7	8.26e-20	GCF_902506755.1
EFB_0058	NZ_CP055156.1_1836	167	61	36.5	1.51e-23	GCF_014217805.1
EFB_0058	NZ_CP081299.1_6453	167	62	37.1	7.11e-23	GCF_019711195.1
EFB_0058	NZ_CP081299.1_1531	146	57	39.0	5.50e-19	GCF_019711195.1
EFB_0058	NZ_CP081299.1_6391	194	59	30.4	3.46e-16	GCF_019711195.1
EFB_0058	NZ_CP104875.1_2085	203	66	32.5	8.93e-19	GCF_025449135.1
EFB_0058	NZ_CP047028.1_61	190	60	31.6	1.00e-13	GCF_009796865.1
EFB_0058	NZ_CM148643.1_2938	203	66	32.5	8.57e-19	GCF_056134315.1
EFB_0058	NZ_CM148647.1_2471	203	68	33.5	1.51e-20	GCF_056135355.1
EFB_0058	NZ_CM148647.1_2151	170	58	34.1	2.30e-14	GCF_056135355.1
EFB_0058	NZ_CP043609.1_27	180	59	32.8	4.71e-17	GCF_008369705.1
EFB_0058	NZ_CP146526.1_15	180	63	35.0	8.23e-21	GCF_051861815.1
EFB_0058	NZ_CP102939.1_25	175	58	33.1	5.65e-19	GCF_025263845.1
EFB_0058	NZ_CP102938.1_288	101	34	33.7	2.08e-04	GCF_025263845.1
EFB_0058	NZ_CP056775.1_796	187	69	36.9	1.55e-18	GCF_016894445.1
EFB_0058	NZ_CP072230.1_71	175	58	33.1	3.88e-19	GCF_018289315.1
EFB_0058	NZ_CP179925.1_443	101	34	33.7	1.56e-04	GCF_047777885.1
EFB_0058	NZ_CP179925.1_2370	101	34	33.7	1.56e-04	GCF_047777885.1
EFB_0058	NZ_CP051683.1_65	189	70	37.0	3.75e-22	GCF_012849215.1
EFB_0058	NZ_CP051682.1_303	41	23	56.1	1.32e-07	GCF_012849215.1
EFB_0058	NZ_CP110003.1_1	187	59	31.6	3.02e-17	GCF_025947205.1
EFB_0058	NZ_CP152475.1_3974	190	68	35.8	3.34e-21	GCF_039727685.1
EFB_0058	NZ_CP072253.1_65	175	58	33.1	5.97e-19	GCF_018292125.1
EFB_0058	NZ_CP069564.1_116	175	58	33.1	4.23e-19	GCF_016889925.1
EFB_0058	NZ_OZ245806.1_1427	199	61	30.7	1.15e-17	GCF_965228295.1
EFB_0058	NZ_CP036540.1_77	180	58	32.2	9.06e-17	GCF_000710375.2
EFB_0058	NZ_CM148673.1_1895	203	66	32.5	8.69e-19	GCF_056135385.1
EFB_0058	NZ_CP081914.1_21	168	56	33.3	5.48e-15	GCF_020091505.1
EFB_0058	NC_015703.1_3918	152	60	39.5	6.59e-20	GCF_000218895.1
EFB_0058	NZ_CP087585.1_2688	190	60	31.6	1.17e-15	GCF_022200785.1
EFB_0058	NZ_OZ260103.1_3518	147	50	34.0	2.61e-11	GCF_965284485.1
EFB_0058	NZ_CP171011.1_891	163	56	34.4	3.88e-19	GCF_043164735.1
EFB_0058	NZ_CM148689.1_3340	170	59	34.7	6.91e-15	GCF_056135745.1
EFB_0058	NZ_CP059857.1_82	175	58	33.1	4.40e-19	GCF_009193325.2
EFB_0058	NZ_CP059856.1_1880	102	40	39.2	4.86e-08	GCF_009193325.2
EFB_0058	NC_015160.1_3039	171	54	31.6	1.27e-13	GCF_000190535.1
EFB_0058	NZ_CP199727.1_3120	190	67	35.3	1.22e-21	GCF_052625935.1
EFB_0058	NZ_CP143942.1_104	175	58	33.1	5.59e-19	GCF_036419675.1
EFB_0058	NZ_CP143943.1_43	168	56	33.3	4.28e-15	GCF_036419675.1
EFB_0058	NZ_CP006576.1_3509	170	58	34.1	1.16e-14	GCF_001011675.1
EFB_0058	NC_009614.1_443	101	34	33.7	1.54e-04	GCF_000012825.1
EFB_0058	NC_009614.1_2330	101	34	33.7	1.54e-04	GCF_000012825.1
EFB_0058	NZ_CP071530.1_1983	143	46	32.2	7.78e-16	GCF_024205065.1
EFB_0058	NZ_CP033916.1_47	190	67	35.3	2.44e-21	GCF_003815635.1
EFB_0058	NZ_CP110012.1_2650	143	47	32.9	1.53e-11	GCF_025947365.1
EFB_0058	NZ_CP072219.1_65	175	58	33.1	5.32e-19	GCF_018289135.1
EFB_0058	NZ_CP119767.1_274	190	69	36.3	4.19e-21	GCF_029320935.1
EFB_0058	NZ_CP023401.1_2447	170	55	32.4	6.25e-12	GCF_002023665.2
EFB_0058	NZ_CP091790.1_237	186	59	31.7	5.58e-22	GCF_022024075.1
EFB_0058	NZ_CP072233.1_71	175	58	33.1	4.32e-19	GCF_018289335.1
EFB_0058	NZ_CP110973.1_4698	194	71	36.6	3.26e-24	GCF_026248825.1
EFB_0058	NZ_CP054001.1_63	168	56	33.3	3.46e-15	GCF_013267555.1
EFB_0058	NZ_CP054002.1_35	196	61	31.1	3.18e-12	GCF_013267555.1
EFB_0058	NZ_CP054002.1_1	86	37	43.0	4.22e-11	GCF_013267555.1
EFB_0058	NZ_CP054002.1_88	165	54	32.7	1.21e-10	GCF_013267555.1
EFB_0058	NZ_CP102262.1_1014	180	59	32.8	1.05e-20	GCF_025147325.1
EFB_0058	NZ_CP091786.1_1961	186	59	31.7	5.61e-22	GCF_022024015.1
EFB_0058	NZ_CP071547.1_2088	203	66	32.5	8.94e-19	GCF_024205605.1
EFB_0058	NZ_CM148692.1_2193	170	59	34.7	6.91e-15	GCF_056135785.1
EFB_0058	NZ_CP140570.1_1476	170	57	33.5	1.40e-13	GCF_034509165.1
EFB_0058	NZ_CP095047.1_97	199	61	30.7	6.98e-18	GCF_022919215.1
EFB_0058	NZ_CP054141.1_37	163	53	32.5	1.44e-12	GCF_013284035.1
EFB_0058	NZ_CP143637.1_138	190	68	35.8	1.44e-21	GCF_036362765.1
EFB_0058	NZ_CP143637.1_1326	141	46	32.6	1.12e-11	GCF_036362765.1
EFB_0058	NZ_CP015068.2_2812	188	60	31.9	3.69e-17	GCF_001618545.2
EFB_0058	NZ_CP033935.1_78	190	69	36.3	6.68e-23	GCF_003815995.1
EFB_0058	NZ_CP033934.1_725	190	68	35.8	2.73e-21	GCF_003815995.1
EFB_0058	NZ_CP018939.1_51	168	56	33.3	3.28e-15	GCF_002849695.1
EFB_0058	NZ_CP018939.1_95	168	56	33.3	3.28e-15	GCF_002849695.1
EFB_0058	NZ_CP072238.1_66	175	58	33.1	4.15e-19	GCF_018289375.1
EFB_0058	NZ_CP172273.1_2555	203	68	33.5	1.49e-20	GCF_044325015.1
EFB_0058	NZ_CM148634.1_2019	187	58	31.0	1.14e-16	GCF_056134065.1
EFB_0058	NZ_CP060787.1_5	79	30	38.0	8.36e-13	GCF_014489555.1
EFB_0058	NZ_CM143122.1_209	170	58	34.1	3.20e-14	GCF_054953365.1
EFB_0058	NZ_CP180265.1_3463	190	68	35.8	4.73e-22	GCF_047651245.1
EFB_0058	NZ_CP072223.1_114	175	58	33.1	4.38e-19	GCF_018289175.1
EFB_0058	NZ_CM148646.1_1929	170	58	34.1	2.48e-14	GCF_056135265.1
EFB_0058	NZ_CP064939.1_3711	74	29	39.2	5.26e-10	GCF_015679185.1
