hit_id	replicon	gene_name	i_eval	score	profile_cov	seq_cov	begin_match	end_match
								
hit_id	replicon	gene_name	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
NZ_CP199307.1_2979816-2990453:._2	all_contigs	RM_Type_IIG__Type_IIG_3	2e-216	719.100	0.998	0.988	1	1010
NZ_CM143122.1_219845-230482:._2	all_contigs	RM_Type_IIG__Type_IIG_3	4.2e-217	721.300	0.998	0.988	1	1010
NZ_CM143117.1_19262-29899:._2	all_contigs	RM_Type_IIG__Type_IIG_3	4.2e-217	721.300	0.998	0.988	1	1010
NZ_CP077754.1_1712170-1722807:._2	all_contigs	RM_Type_IIG__Type_IIG_3	4.2e-217	721.300	0.998	0.988	1	1010
NZ_CM143123.1_1-9276:._6	all_contigs	RM_Type_IIG__Type_IIG_3	4.2e-217	721.300	0.998	0.988	1	1010
NZ_CP077751.1_1700941-1711578:._2	all_contigs	RM_Type_IIG__Type_IIG_3	4.2e-217	721.300	0.998	0.988	1	1010
NZ_CM143116.1_2524405-2535042:._7	all_contigs	RM_Type_IIG__Type_IIG_3	4.2e-217	721.300	0.998	0.988	1	1010
NZ_OX596084.1_1719772-1730409:._2	all_contigs	RM_Type_IIG__Type_IIG_3	4.2e-217	721.300	0.998	0.988	1	1010
NZ_LR134404.1_997179-1007786:._8	all_contigs	RM_Type_IIG__Type_IIG_FAM_0.einsi_trimmed	1.3e-123	412.000	0.837	0.988	10	966
NC_015164.1_34583-45172:._4	all_contigs	RM_Type_IIG__Type_IIG_FAM_0.einsi_trimmed	3.3e-105	351.000	0.800	0.831	113	1064
NC_015144.1_2100312-2110919:._1	all_contigs	RM_Type_IIG__Type_IIG_FAM_0.einsi_trimmed	1.3e-123	412.000	0.837	0.989	9	965
NZ_CP114291.2_1703538-1714145:._6	all_contigs	RM_Type_IIG__Type_IIG_FAM_0.einsi_trimmed	1.2e-154	514.600	0.991	0.974	30	1233
								
								
hit_id	replicon	gene_name	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
NZ_LR134404.1_997179-1007786:._3	all_contigs	SanaTA__SanaA	6.5e-17	59.700	0.963	0.632	3	129
NC_015144.1_2100312-2110919:._6	all_contigs	SanaTA__SanaA	6.5e-17	59.700	0.963	0.632	3	129
NZ_CP034173.1_1138126-1148700:._12	all_contigs	SanaTA__SanaA	7.2e-05	20.700	0.866	0.471	12	124
NZ_CP120354.1_48892-59487:._3	all_contigs	SanaTA__SanaA	6.5e-10	37.000	0.933	0.619	7	128
NZ_LR134404.1_997179-1007786:._2	all_contigs	SanaTA__SanaT_1	2.4e-105	350.500	0.901	0.968	4	336
NZ_CP146526.1_6816-17408:._13	all_contigs	SanaTA__SanaT_1	9.1e-67	223.600	0.692	0.989	1	264
NC_015144.1_2100312-2110919:._7	all_contigs	SanaTA__SanaT_1	2.4e-105	350.500	0.901	0.968	4	336
NZ_CP034173.1_1138126-1148700:._13	all_contigs	SanaTA__SanaT_1	5.8e-37	125.500	0.280	0.980	1	96
NZ_CP044017.1_1-9654:._6	all_contigs	SanaTA__SanaT_1	5.5e-57	191.400	0.865	0.978	6	316
NZ_CP120354.1_48892-59487:._4	all_contigs	SanaTA__SanaT_1	1.9e-37	127.100	0.283	0.920	1	103
								
								
hit_id	replicon	gene_name	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
NZ_LR134404.1_997179-1007786:._7	all_contigs	RM_Type_II__Type_II_MTases_FAM_14	6.2e-06	22.500	0.195	0.875	6	110
NC_015144.1_2100312-2110919:._2	all_contigs	RM_Type_II__Type_II_MTases_FAM_14	6.2e-06	22.500	0.195	0.875	6	110
NZ_OZ260103.1_4084383-4094978:._4	all_contigs	RM_Type_II__Type_II_MTases_FAM_2	1.7e-116	386.500	0.978	0.917	25	346
NZ_CP114291.2_1703538-1714145:._5	all_contigs	RM_Type_II__Type_II_MTases_FAM_31	1.7e-12	44.100	0.474	0.929	14	289
NZ_CP065589.1_4744455-4755017:._8	all_contigs	RM_Type_II__Type_II_MTases_FAM_4	1.5e-76	254.800	0.982	0.968	8	277
NZ_CM148647.1_2391999-2402636:._2	all_contigs	RM_Type_II__Type_II_MTases_FAM_40	2.8e-05	20.700	0.301	0.469	29	148
NZ_CM148689.1_3656431-3667026:._11	all_contigs	RM_Type_II__Type_II_MTases_FAM_40	3.2e-05	20.600	0.301	0.469	29	148
NZ_CP119422.1_4788955-4799508:._3	all_contigs	RM_Type_II__Type_II_MTases_FAM_6	2.7e-11	40.400	0.270	0.602	62	217
NZ_CP011318.1_3761958-3772556:._1	all_contigs	RM_Type_II__Type_II_REase25	5.9e-19	66.700	0.306	0.952	6	123
NZ_OZ260103.1_4084383-4094978:._5	all_contigs	RM_Type_II__Type_II_REase27	9.1e-39	132.200	0.855	0.997	1	361
NZ_CP023401.1_2656649-2667241:._1	all_contigs	RM_Type_II__Type_II_REase34	2.9e-22	76.900	0.229	0.798	3	164
NZ_CP023402.1_2692148-2702740:._1	all_contigs	RM_Type_II__Type_II_REase34	2.9e-22	76.900	0.229	0.798	3	164
NZ_CP023403.1_2692148-2702740:._1	all_contigs	RM_Type_II__Type_II_REase34	2.9e-22	76.900	0.229	0.798	3	164
NZ_CP023404.1_2692148-2702740:._1	all_contigs	RM_Type_II__Type_II_REase34	2.9e-22	76.900	0.229	0.798	3	164
NZ_CP121110.1_2169661-2180256:._1	all_contigs	RM_Type_II__Type_II_REase38	4e-44	148.600	0.620	0.980	6	439
								
								
hit_id	replicon	gene_name	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
NZ_LR134404.1_997179-1007786:._8	all_contigs	RM_Type_IIG__Type_IIG_FAM_0.einsi_trimmed	1.3e-123	412.000	0.837	0.988	10	966
NC_015164.1_34583-45172:._4	all_contigs	RM_Type_IIG__Type_IIG_FAM_0.einsi_trimmed	3.3e-105	351.000	0.800	0.831	113	1064
NC_015144.1_2100312-2110919:._1	all_contigs	RM_Type_IIG__Type_IIG_FAM_0.einsi_trimmed	1.3e-123	412.000	0.837	0.989	9	965
NZ_CP114291.2_1703538-1714145:._6	all_contigs	RM_Type_IIG__Type_IIG_FAM_0.einsi_trimmed	1.2e-154	514.600	0.991	0.974	30	1233
								
								
hit_id	replicon	gene_name	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match
NZ_CP110003.1_1-5567:._3	all_contigs	PrrC__EcoprrI	3.2e-157	522.200	0.958	0.996	1	514
NZ_CP037428.1_20809-31371:._12	all_contigs	PrrC__EcoprrI	4.3e-17	60.400	0.736	0.397	52	376
NZ_CP092371.1_10906-21471:._3	all_contigs	PrrC__EcoprrI	3.2e-157	522.200	0.958	0.996	1	514
NZ_CP125998.1_20809-31371:._12	all_contigs	PrrC__EcoprrI	4.3e-17	60.400	0.736	0.397	52	376
NZ_CP125988.1_20809-31371:._12	all_contigs	PrrC__EcoprrI	4.3e-17	60.400	0.736	0.397	52	376
NZ_CP171010.1_321704-332272:._5	all_contigs	RM__Type_I_MTases_FAM_0	1.7e-173	575.700	0.990	0.982	7	558
NZ_CM148647.1_2723775-2734409:._8	all_contigs	RM__Type_I_MTases_FAM_0	1.5e-167	556.100	0.996	0.996	1	508
NZ_CP087585.1_3158408-3169009:._1	all_contigs	RM__Type_I_MTases_FAM_0	4.9e-123	409.300	0.715	1.000	1	382
NZ_CP172273.1_2772056-2782690:._8	all_contigs	RM__Type_I_MTases_FAM_0	1.5e-167	556.100	0.996	0.996	1	508
NZ_CM148639.1_2745888-2756492:._14	all_contigs	RM__Type_I_MTases_FAM_0	1.5e-167	556.100	0.996	0.996	1	508
NZ_CP119422.1_4788955-4799508:._9	all_contigs	RM__Type_I_MTases_FAM_0	3.9e-145	482.200	0.842	0.943	52	963
NZ_CP110003.1_1-5567:._5	all_contigs	RM__Type_I_REases_FAM_0.einsi_trimmed	3.9e-144	479.800	0.399	0.933	30	436
NZ_CP092371.1_10906-21471:._1	all_contigs	RM__Type_I_REases_FAM_0.einsi_trimmed	3.9e-144	479.800	0.399	0.933	30	436
