blast_hit_id	contig_orf_id	genome	strand	genome_start	genome_stop
NZ_CP199307.1_2735	NZ_CP199307.1_2979816-2990453:._4	NZ_CP199307.1	-1	2984815	2985453
NZ_LR134404.1_954	NZ_LR134404.1_997179-1007786:._4	NZ_LR134404.1	-1	1002178	1002786
NZ_CP072373.1_1424	NZ_CP072373.1_1796422-1806798:._7	NZ_CP072373.1	1	1801421	1801798
NZ_CP171010.1_331	NZ_CP171010.1_321704-332272:._7	NZ_CP171010.1	-1	326703	327272
NZ_CP033913.1_26	NZ_CP033913.1_24170-34774:._6	NZ_CP033913.1	-1	29169	29774
NZ_CP099631.1_11	NZ_CP099631.1_3546-14147:._7	NZ_CP099631.1	1	8545	9147
NZ_CP094531.1_41	NZ_CP094531.1_39741-50303:._7	NZ_CP094531.1	-1	44740	45303
NZ_CP047647.1_176	NZ_CP047647.1_190026-200624:._6	NZ_CP047647.1	-1	195025	195624
NZ_LR735258.1_5057	NZ_LR735258.1_6136832-6147391:._6	NZ_LR735258.1	1	6141831	6142391
NZ_CP055156.1_1836	NZ_CP055156.1_2346348-2356955:._2	NZ_CP055156.1	1	2351347	2351955
NZ_CP081299.1_1531	NZ_CP081299.1_1785944-1796431:._8	NZ_CP081299.1	-1	1790943	1791431
NZ_CP081299.1_6391	NZ_CP081299.1_7335084-7345685:._7	NZ_CP081299.1	-1	7340083	7340685
NZ_CP081299.1_6453	NZ_CP081299.1_7408552-7419153:._6	NZ_CP081299.1	1	7413551	7414153
NZ_CP104875.1_2085	NZ_CP104875.1_2250589-2261184:._6	NZ_CP104875.1	1	2255588	2256184
NZ_CP047028.1_61	NZ_CP047028.1_60104-70729:._9	NZ_CP047028.1	-1	65103	65729
NZ_CM148643.1_2938	NZ_CM148643.1_3210785-3221380:._7	NZ_CM148643.1	-1	3215784	3216380
NZ_CM148647.1_2151	NZ_CM148647.1_2391999-2402636:._8	NZ_CM148647.1	-1	2396998	2397636
NZ_CM148647.1_2471	NZ_CM148647.1_2723775-2734409:._6	NZ_CM148647.1	-1	2728774	2729409
NZ_CP043609.1_27	NZ_CP043609.1_17474-28072:._7	NZ_CP043609.1	1	22473	23072
NZ_CP146526.1_15	NZ_CP146526.1_6816-17408:._8	NZ_CP146526.1	1	11815	12408
NZ_CP056775.1_796	NZ_CP056775.1_980430-990995:._8	NZ_CP056775.1	1	985429	985995
NZ_CP072230.1_71	NZ_CP072230.1_55830-66425:._6	NZ_CP072230.1	-1	60829	61425
NZ_CP179925.1_443	NZ_CP179925.1_611886-623561:._7	NZ_CP179925.1	1	616885	618561
NZ_CP179925.1_2370	NZ_CP179925.1_3024398-3036073:._7	NZ_CP179925.1	1	3029397	3031073
NZ_CP110003.1_1	NZ_CP110003.1_1-5567:._1	NZ_CP110003.1	1	1	567
NZ_CP152475.1_3974	NZ_CP152475.1_3982608-3993212:._8	NZ_CP152475.1	1	3987607	3988212
NZ_CP072253.1_65	NZ_CP072253.1_51844-62439:._6	NZ_CP072253.1	-1	56843	57439
NZ_CP069564.1_116	NZ_CP069564.1_87419-98014:._11	NZ_CP069564.1	1	92418	93014
NZ_OZ245806.1_1427	NZ_OZ245806.1_1584225-1594832:._10	NZ_OZ245806.1	-1	1589224	1589832
NZ_CP036540.1_77	NZ_CP036540.1_72561-83153:._7	NZ_CP036540.1	1	77560	78153
NZ_CM148673.1_1895	NZ_CM148673.1_2105830-2116425:._6	NZ_CM148673.1	1	2110829	2111425
NZ_CP081914.1_21	NZ_CP081914.1_9325-19917:._12	NZ_CP081914.1	-1	14324	14917
NC_015703.1_3918	NC_015703.1_4519906-4530483:._5	NC_015703.1	1	4524905	4525483
NZ_CP087585.1_2688	NZ_CP087585.1_3158408-3169009:._5	NZ_CP087585.1	1	3163407	3164009
NZ_OZ260103.1_3518	NZ_OZ260103.1_4084383-4094978:._7	NZ_OZ260103.1	-1	4089382	4089978
NZ_CP171011.1_891	NZ_CP171011.1_905932-916497:._8	NZ_CP171011.1	1	910931	911497
NZ_CM148689.1_3340	NZ_CM148689.1_3656431-3667026:._5	NZ_CM148689.1	1	3661430	3662026
NC_015160.1_3039	NC_015160.1_3554654-3565171:._5	NC_015160.1	-1	3559653	3560171
NZ_CP199727.1_3120	NZ_CP199727.1_3386737-3397341:._6	NZ_CP199727.1	1	3391736	3392341
NZ_CP143942.1_104	NZ_CP143942.1_80606-91201:._6	NZ_CP143942.1	-1	85605	86201
NZ_CP143943.1_43	NZ_CP143943.1_29742-40334:._7	NZ_CP143943.1	1	34741	35334
NC_009614.1_443	NC_009614.1_611886-623561:._7	NC_009614.1	1	616885	618561
NC_009614.1_2330	NC_009614.1_2958343-2970018:._7	NC_009614.1	1	2963342	2965018
NZ_CP071530.1_1983	NZ_CP071530.1_2194749-2205311:._6	NZ_CP071530.1	1	2199748	2200311
NZ_CP033916.1_47	NZ_CP033916.1_37049-47653:._4	NZ_CP033916.1	1	42048	42653
NZ_CP110012.1_2650	NZ_CP110012.1_3190230-3200819:._3	NZ_CP110012.1	1	3195229	3195819
NZ_CP072219.1_65	NZ_CP072219.1_51842-62437:._6	NZ_CP072219.1	-1	56841	57437
NZ_CP119767.1_274	NZ_CP119767.1_283609-294213:._7	NZ_CP119767.1	-1	288608	289213
NZ_CP023401.1_2447	NZ_CP023401.1_2656649-2667241:._7	NZ_CP023401.1	1	2661648	2662241
NZ_CP091790.1_237	NZ_CP091790.1_278519-289078:._8	NZ_CP091790.1	1	283518	284078
NZ_CP072233.1_71	NZ_CP072233.1_55833-66428:._6	NZ_CP072233.1	-1	60832	61428
NZ_CP110973.1_4698	NZ_CP110973.1_5928283-5938851:._4	NZ_CP110973.1	1	5933282	5933851
NZ_CP054001.1_63	NZ_CP054001.1_41085-51677:._11	NZ_CP054001.1	-1	46084	46677
NZ_CP054002.1_1	NZ_CP054002.1_1-5274:._1	NZ_CP054002.1	-1	2	274
NZ_CP054002.1_35	NZ_CP054002.1_18955-29541:._10	NZ_CP054002.1	1	23954	24541
NZ_CP054002.1_88	NZ_CP054002.1_56769-67379:._11	NZ_CP054002.1	1	61768	62379
NZ_CP102262.1_1014	NZ_CP102262.1_1241992-1252575:._5	NZ_CP102262.1	1	1246991	1247575
NZ_CP091786.1_1961	NZ_CP091786.1_2541119-2551678:._8	NZ_CP091786.1	-1	2546118	2546678
NZ_CP071547.1_2088	NZ_CP071547.1_2251581-2262176:._6	NZ_CP071547.1	1	2256580	2257176
NZ_CM148692.1_2193	NZ_CM148692.1_2418428-2429023:._8	NZ_CM148692.1	-1	2423427	2424023
NZ_CP140570.1_1476	NZ_CP140570.1_1595159-1605754:._5	NZ_CP140570.1	1	1600158	1600754
NZ_CP095047.1_97	NZ_CP095047.1_89856-100457:._6	NZ_CP095047.1	-1	94855	95457
NZ_CP054141.1_37	NZ_CP054141.1_36662-47269:._8	NZ_CP054141.1	-1	41661	42269
NZ_CP143637.1_138	NZ_CP143637.1_150213-160817:._7	NZ_CP143637.1	1	155212	155817
NZ_CP143637.1_1326	NZ_CP143637.1_1427192-1437565:._6	NZ_CP143637.1	-1	1432191	1432565
NZ_CP015068.2_2812	NZ_CP015068.2_3107290-3117846:._5	NZ_CP015068.2	1	3112289	3112846
NZ_CP033934.1_78	NZ_CP033934.1_78870-89474:._2	NZ_CP033934.1	1	79826	81388
NZ_CP018939.1_51	NZ_CP018939.1_26094-36686:._12	NZ_CP018939.1	-1	31093	31686
NZ_CP018939.1_95	NZ_CP018939.1_57218-67810:._9	NZ_CP018939.1	1	62217	62810
NZ_CP072238.1_66	NZ_CP072238.1_51863-62458:._6	NZ_CP072238.1	-1	56862	57458
NZ_CP172273.1_2555	NZ_CP172273.1_2772056-2782690:._6	NZ_CP172273.1	-1	2777055	2777690
NZ_CM148634.1_2019	NZ_CM148634.1_2194474-2205048:._5	NZ_CM148634.1	1	2199473	2200048
NZ_CP060787.1_5	NZ_CP060787.1_1-8437:._5	NZ_CP060787.1	-1	3177	3437
NZ_CM143122.1_209	NZ_CM143122.1_219845-230482:._4	NZ_CM143122.1	-1	224844	225482
NZ_CP180265.1_3463	NZ_CP180265.1_3933061-3943665:._6	NZ_CP180265.1	1	3938060	3938665
NZ_CP072223.1_114	NZ_CP072223.1_86752-97347:._11	NZ_CP072223.1	1	91751	92347
NZ_CM148646.1_1929	NZ_CM148646.1_2068858-2079456:._5	NZ_CM148646.1	-1	2073857	2074456
NZ_CP064939.1_3711	NZ_CP064939.1_4395415-4405641:._6	NZ_CP064939.1	-1	4400414	4400641
NZ_CP094997.1_687	NZ_CP094997.1_809047-819648:._6	NZ_CP094997.1	1	814046	814648
NZ_CM148639.1_2048	NZ_CM148639.1_2178787-2189382:._6	NZ_CM148639.1	1	2183786	2184382
NZ_CM148639.1_2576	NZ_CM148639.1_2733309-2743943:._7	NZ_CM148639.1	-1	2738308	2738943
NZ_CM148639.1_2592	NZ_CM148639.1_2745888-2756492:._10	NZ_CM148639.1	-1	2750887	2751492
NZ_CP060497.1_4791	NZ_CP060497.1_5609736-5620304:._6	NZ_CP060497.1	-1	5614735	5615304
NZ_CP103239.1_34	NZ_CP103239.1_14058-24650:._12	NZ_CP103239.1	-1	19057	19650
NZ_CP103120.1_64	NZ_CP103120.1_40675-51270:._9	NZ_CP103120.1	1	45674	46270
NZ_CP041397.1_40	NZ_CP041397.1_21313-31905:._12	NZ_CP041397.1	-1	26312	26905
NZ_OZ040189.1_1129	NZ_OZ040189.1_1192087-1202679:._4	NZ_OZ040189.1	1	1197086	1197679
NZ_CP056032.1_1479	NZ_CP056032.1_1770823-1781409:._6	NZ_CP056032.1	1	1775822	1776409
NZ_CP056032.1_2456	NZ_CP056032.1_3024565-3035151:._4	NZ_CP056032.1	1	3029564	3030151
NZ_OZ409824.1_4444	NZ_OZ409824.1_5101300-5111901:._10	NZ_OZ409824.1	1	5106299	5106901
NZ_CP095185.1_913	NZ_CP095185.1_951427-961992:._5	NZ_CP095185.1	1	956426	956992
NZ_CP022515.1_1908	NZ_CP022515.1_2251748-2262316:._4	NZ_CP022515.1	-1	2256747	2257316
NZ_CP090557.1_2333	NZ_CP090557.1_2770991-2781580:._8	NZ_CP090557.1	-1	2775990	2776580
NZ_CP037428.1_31	NZ_CP037428.1_20809-31371:._9	NZ_CP037428.1	1	25808	26371
