downstream_orf	blast_hit_id	contig	orf_start	orf_stop	strand	nearest_defense_gene	nearest_defense_type	nearest_distance_bp	defense_genes_in_window	proximity_score	density_score	defense_score	interpro_domains
NZ_LR134404.1_997179-1007786:._3	NZ_LR134404.1_954	NZ_LR134404.1_997179-1007786	4347	4949	-1	NZ_LR134404.1_997179-1007786:._3	SanaTA	0	5	1.0	0.5	0.8	IPR045738
NZ_CP072373.1_1796422-1806798:._8	NZ_CP072373.1_1424	NZ_CP072373.1_1796422-1806798	5374	5637	1	none	none	0	0	0.0	0.0	0.0	
NZ_LR735258.1_6136832-6147391:._7	NZ_LR735258.1_5057	NZ_LR735258.1_6136832-6147391	5563	5760	1	none	none	0	0	0.0	0.0	0.0	
NZ_CP055156.1_2346348-2356955:._3	NZ_CP055156.1_1836	NZ_CP055156.1_2346348-2356955	5687	6628	1	none	none	0	0	0.0	0.0	0.0	
NZ_CP081299.1_7408552-7419153:._7	NZ_CP081299.1_6453	NZ_CP081299.1_7408552-7419153	5639	6193	1	NZ_CP081299.1_7408552-7419153:._11	Veles	1929	1	0.3812	0.1	0.2687	IPR021683
NZ_CP146526.1_6816-17408:._9	NZ_CP146526.1_15	NZ_CP146526.1_6816-17408	5630	6697	1	NZ_CP146526.1_6816-17408:._13	SanaTA	3094	1	0.2129	0.1	0.1677	IPR003812
NZ_CP056775.1_980430-990995:._9	NZ_CP056775.1_796	NZ_CP056775.1_980430-990995	5624	6115	1	none	none	0	0	0.0	0.0	0.0	
NZ_CP179925.1_611886-623561:._8	NZ_CP179925.1_443	NZ_CP179925.1_611886-623561	6736	7752	1	NZ_CP179925.1_611886-623561:._7	Lamassu-Fam	60	4	0.9704	0.4	0.7423	
NZ_CP179925.1_3024398-3036073:._8	NZ_CP179925.1_2370	NZ_CP179925.1_3024398-3036073	6736	7761	1	NZ_CP179925.1_3024398-3036073:._7	Lamassu-Fam	60	4	0.9704	0.4	0.7423	
NZ_OZ245806.1_1584225-1594832:._9	NZ_OZ245806.1_1427	NZ_OZ245806.1_1584225-1594832	4339	4911	-1	NZ_OZ245806.1_1584225-1594832:._12	Eleos	2613	1	0.2708	0.1	0.2025	
NC_015703.1_4519906-4530483:._6	NC_015703.1_3918	NC_015703.1_4519906-4530483	5598	5864	1	none	none	0	0	0.0	0.0	0.0	
NC_009614.1_611886-623561:._8	NC_009614.1_443	NC_009614.1_611886-623561	6736	7752	1	NC_009614.1_611886-623561:._7	Lamassu-Fam	60	4	0.9704	0.4	0.7423	
NC_009614.1_2958343-2970018:._8	NC_009614.1_2330	NC_009614.1_2958343-2970018	6736	7761	1	NC_009614.1_2958343-2970018:._7	Lamassu-Fam	60	4	0.9704	0.4	0.7423	
NZ_CP110012.1_3190230-3200819:._4	NZ_CP110012.1_2650	NZ_CP110012.1_3190230-3200819	5690	5779	1	none	none	0	0	0.0	0.0	0.0	
