blast_hit_id	hit_contig_orf	downstream_orf	strand	gap_bp
NZ_LR134404.1_954	NZ_LR134404.1_997179-1007786:._4	NZ_LR134404.1_997179-1007786:._3	-1	51
NZ_CP072373.1_1424	NZ_CP072373.1_1796422-1806798:._7	NZ_CP072373.1_1796422-1806798:._8	1	-3
NZ_LR735258.1_5057	NZ_LR735258.1_6136832-6147391:._6	NZ_LR735258.1_6136832-6147391:._7	1	3
NZ_CP055156.1_1836	NZ_CP055156.1_2346348-2356955:._2	NZ_CP055156.1_2346348-2356955:._3	1	79
NZ_CP081299.1_6453	NZ_CP081299.1_7408552-7419153:._6	NZ_CP081299.1_7408552-7419153:._7	1	37
NZ_CP146526.1_15	NZ_CP146526.1_6816-17408:._8	NZ_CP146526.1_6816-17408:._9	1	37
NZ_CP056775.1_796	NZ_CP056775.1_980430-990995:._8	NZ_CP056775.1_980430-990995:._9	1	58
NZ_CP179925.1_443	NZ_CP179925.1_611886-623561:._7	NZ_CP179925.1_611886-623561:._8	1	60
NZ_CP179925.1_2370	NZ_CP179925.1_3024398-3036073:._7	NZ_CP179925.1_3024398-3036073:._8	1	60
NZ_OZ245806.1_1427	NZ_OZ245806.1_1584225-1594832:._10	NZ_OZ245806.1_1584225-1594832:._9	-1	89
NC_015703.1_3918	NC_015703.1_4519906-4530483:._5	NC_015703.1_4519906-4530483:._6	1	20
NC_009614.1_443	NC_009614.1_611886-623561:._7	NC_009614.1_611886-623561:._8	1	60
NC_009614.1_2330	NC_009614.1_2958343-2970018:._7	NC_009614.1_2958343-2970018:._8	1	60
NZ_CP110012.1_2650	NZ_CP110012.1_3190230-3200819:._3	NZ_CP110012.1_3190230-3200819:._4	1	100
NZ_CP119767.1_274	NZ_CP119767.1_283609-294213:._7	NZ_CP119767.1_283609-294213:._6	-1	79
NZ_CP110973.1_4698	NZ_CP110973.1_5928283-5938851:._4	NZ_CP110973.1_5928283-5938851:._5	1	6
NZ_CP143637.1_1326	NZ_CP143637.1_1427192-1437565:._6	NZ_CP143637.1_1427192-1437565:._5	-1	-34
NZ_CP015068.2_2812	NZ_CP015068.2_3107290-3117846:._5	NZ_CP015068.2_3107290-3117846:._6	1	78
NZ_CP060787.1_5	NZ_CP060787.1_1-8437:._5	NZ_CP060787.1_1-8437:._4	-1	-9
NZ_CP180265.1_3463	NZ_CP180265.1_3933061-3943665:._6	NZ_CP180265.1_3933061-3943665:._7	1	55
NZ_CP064939.1_3711	NZ_CP064939.1_4395415-4405641:._6	NZ_CP064939.1_4395415-4405641:._5	-1	10
