# macsyfinder 2.1.6  (using MacSyLib 1.0.4 )
# models : defense-finder-models-2.0.2
# /gpfs/alpine1/scratch/sandersen@xsede.org/RADS_Bacteroidota_Slurm/RADS/.pixi/envs/defensefinder/bin/macsyfinder --db-type unordered --sequence-db results/efb0058_bacteroidota_withbinom_slurm/contig_orfs/all_contigs.faa --models defense-finder-models all --out-dir /tmp/defense-finder --coverage-profile 0.1 --w 4
# Likely Systems found:

# This replicon contains genetic materials needed for system defense-finder-models/RM/RM/RM_Type_IIG

replicon	hit_id	gene_name	hit_pos	model_fqn	sys_id	sys_wholeness	hit_gene_ref	hit_status	hit_seq_len	hit_i_eval	hit_score	hit_profile_cov	hit_seq_cov	hit_begin_match	hit_end_match	used_in
all_contigs	NZ_CP199307.1_2979816-2990453:._2	RM_Type_IIG__Type_IIG_3	2	defense-finder-models/RM/RM/RM_Type_IIG	all_contigs_RM_Type_IIG_57	0.333	RM_Type_IIG__Type_IIG_3	mandatory	1022	2e-216	719.100	0.998	0.988	1	1010	
all_contigs	NZ_CM143122.1_219845-230482:._2	RM_Type_IIG__Type_IIG_3	947	defense-finder-models/RM/RM/RM_Type_IIG	all_contigs_RM_Type_IIG_57	0.333	RM_Type_IIG__Type_IIG_3	mandatory	1022	4.2e-217	721.300	0.998	0.988	1	1010	
all_contigs	NZ_CM143117.1_19262-29899:._2	RM_Type_IIG__Type_IIG_3	1594	defense-finder-models/RM/RM/RM_Type_IIG	all_contigs_RM_Type_IIG_57	0.333	RM_Type_IIG__Type_IIG_3	mandatory	1022	4.2e-217	721.300	0.998	0.988	1	1010	
all_contigs	NZ_CP077754.1_1712170-1722807:._2	RM_Type_IIG__Type_IIG_3	1709	defense-finder-models/RM/RM/RM_Type_IIG	all_contigs_RM_Type_IIG_57	0.333	RM_Type_IIG__Type_IIG_3	mandatory	1022	4.2e-217	721.300	0.998	0.988	1	1010	
all_contigs	NZ_CM143123.1_1-9276:._6	RM_Type_IIG__Type_IIG_3	1954	defense-finder-models/RM/RM/RM_Type_IIG	all_contigs_RM_Type_IIG_57	0.333	RM_Type_IIG__Type_IIG_3	mandatory	1022	4.2e-217	721.300	0.998	0.988	1	1010	
all_contigs	NZ_CP077751.1_1700941-1711578:._2	RM_Type_IIG__Type_IIG_3	2075	defense-finder-models/RM/RM/RM_Type_IIG	all_contigs_RM_Type_IIG_57	0.333	RM_Type_IIG__Type_IIG_3	mandatory	1022	4.2e-217	721.300	0.998	0.988	1	1010	
all_contigs	NZ_CM143116.1_2524405-2535042:._7	RM_Type_IIG__Type_IIG_3	3098	defense-finder-models/RM/RM/RM_Type_IIG	all_contigs_RM_Type_IIG_57	0.333	RM_Type_IIG__Type_IIG_3	mandatory	1022	4.2e-217	721.300	0.998	0.988	1	1010	
all_contigs	NZ_OX596084.1_1719772-1730409:._2	RM_Type_IIG__Type_IIG_3	3152	defense-finder-models/RM/RM/RM_Type_IIG	all_contigs_RM_Type_IIG_57	0.333	RM_Type_IIG__Type_IIG_3	mandatory	1022	4.2e-217	721.300	0.998	0.988	1	1010	
all_contigs	NZ_LR134404.1_997179-1007786:._8	RM_Type_IIG__Type_IIG_FAM_0.einsi_trimmed	16	defense-finder-models/RM/RM/RM_Type_IIG	all_contigs_RM_Type_IIG_57	0.333	RM_Type_IIG__Type_IIG_FAM_0.einsi_trimmed	mandatory	969	1.3e-123	412.000	0.837	0.988	10	966	all_contigs_RM_Type_IIG_2_58
all_contigs	NC_015164.1_34583-45172:._4	RM_Type_IIG__Type_IIG_FAM_0.einsi_trimmed	1275	defense-finder-models/RM/RM/RM_Type_IIG	all_contigs_RM_Type_IIG_57	0.333	RM_Type_IIG__Type_IIG_FAM_0.einsi_trimmed	mandatory	1145	3.3e-105	351.000	0.800	0.831	113	1064	all_contigs_RM_Type_IIG_2_58
